activity,type,participants,price,link,key,accessibility
Watch a movie you'd never usually watch,relaxation,1,0.15,,9212950,0.15
Start a family tree,social,1,0,https://en.wikipedia.org/wiki/Family_tree,6825484,1
Learn how to write in shorthand,education,1,0,,6778219,0.1
Teach your dog a new trick,relaxation,1,0.05,,1668223,0.15
Take a hike at a local park,recreational,1,0,,8724324,0.1
Write a poem,recreational,1,0,,8688620,0
Go swimming with a friend,social,2,0.1,,1505028,0.1
Have a paper airplane contest with some friends,social,4,0.02,,8557562,0.05
Binge watch a trending series,recreational,1,0.2,,5881647,0.2
Take your cat on a walk,relaxation,1,0.02,,5940465,0.1
Listen to music you haven't heard in a while,music,1,0.05,,4296813,0.9
Take a spontaneous road trip with some friends,social,4,0.2,,2085321,0.3
Match your storage containers with their lids,busywork,1,0,,4940907,1
Do something you used to do as a kid,relaxation,1,0.1,,8827573,0.8
Learn about a distributed version control system such as Git,education,1,0,https://en.wikipedia.org/wiki/Distributed_version_control,9303608,0
Plan a vacation you've always wanted to take,relaxation,1,0,,7265395,0.05
Go to an escape room,social,4,0.5,,5585829,0.3
Go to a karaoke bar with some friends,social,4,0.5,,9072906,0.35
Learn to play a new instrument,music,1,0.55,,3192099,0.6
Have a jam session with your friends,music,5,0.1,,2715253,0.3
Learn to sew on a button,education,1,0.05,,8731971,0.1
Meditate for five minutes,relaxation,1,0,,3699502,0.05
Watch a Khan Academy lecture on a subject of your choosing,education,1,0,https://www.khanacademy.org/,7154873,0
Learn the periodic table,education,1,0,https://en.wikipedia.org/wiki/Periodic_table,3621244,0.6
Memorize the fifty states and their capitals,education,1,0,,4179309,0
Learn how to french braid hair,education,1,0,,8926492,0.1
Do a jigsaw puzzle,recreational,1,0.1,https://en.wikipedia.org/wiki/Jigsaw_puzzle,8550768,1
Make a budget,busywork,1,0,,4379552,0.1
Have a picnic with some friends,social,3,0.1,,6813070,0.1
Learn how to play a new sport,recreational,1,0.1,,5808228,0.2
Go on a fishing trip with some friends,social,3,0.4,,3149232,0.4
Catch up with a friend over a lunch date,social,2,0.2,,5590133,0.15
Rearrange and organize your room,busywork,1,0,,6197243,0.15
Invite some friends over for a game night,social,4,0,,6613428,0.2
Bake something you've never tried before,cooking,1,0.4,,5665663,0.3
Contribute code or a monetary donation to an open-source software project,charity,1,0.1,https://github.com/explore,7687030,0
Visit your past teachers,social,1,0,,8238918,0.7
Uninstall unused apps from your devices,busywork,1,0,,2850593,0
Visit a nearby museum,recreational,1,0.2,,5490351,0.7
Clean out your refrigerator,busywork,1,0,,9324336,0
Cook something together with someone,cooking,2,0.3,,1799120,0.8
Organize your music collection,busywork,1,0,,3151646,0
Take a class at your local community center that interests you,education,1,0,,8750692,0.15
Make homemade ice cream,cooking,1,0.2,,3818400,0.2
Start a daily journal,relaxation,1,0,,8779876,0
Start a webinar on a topic of your choice,education,1,0,,6826029,0.9
Organize a cluttered drawer,busywork,1,0,,9714586,0
Memorize a favorite quote or poem,education,1,0,,9008639,0.8
Create a personal website,recreational,1,0.1,,3141417,0.12
Create a meal plan for the coming week,cooking,1,0,,3491470,0
Have a photo session with some friends,social,4,0.05,,3305912,0.8
Explore the nightlife of your city,social,1,0.1,,2237769,0.32
Learn how to fold a paper crane,education,1,0.1,,3136036,0.05
Go to a nail salon,relaxation,1,0.4,,7526324,0.5
Learn how the internet works,education,1,0,,9414706,0.1
Make a simple musical instrument,music,1,0.4,,7091374,0.25
Write a handwritten letter to somebody,social,1,0.1,,2277801,0.8
Surprise your significant other with something considerate,social,1,0,,6204657,0
Pick up litter around your favorite park,charity,1,0,,4894697,0.05
Start a collection,recreational,1,0,,1718657,0.5
Start a book you've never gotten around to reading,relaxation,1,0.1,,7114122,0.1
Learn the Chinese erhu,music,1,0.6,,2742452,0.4
Learn Express.js,education,1,0.1,https://expressjs.com/,3943506,0.25
Organize your dresser,busywork,1,0,,7556665,1
Volunteer at your local food pantry,charity,1,0,,1878070,0.1
Bake pastries for you and your neighbor,cooking,1,0.4,,8125168,0.3
Write a list of things you are grateful for,relaxation,1,0,,2062010,0
Organize a bookshelf,busywork,1,0,,6098037,0
Go to the gym,recreational,1,0.2,,4387026,0.1
Color,relaxation,1,0.1,,5322987,0
Volunteer at a local animal shelter,charity,1,0.1,,1382389,0.5
Plan a trip to another country,recreational,1,0,,5554727,0
Patronize a local independent restaurant,recreational,1,0.2,,5319204,0.1
Mow your neighbor's lawn,charity,1,0,,1303906,0.2
Hold a yard sale,social,1,0,,1432113,0.1
Hold a video game tournament with some friends,social,4,0,,2300257,0.1
Learn and play a new card game,recreational,1,0,https://www.pagat.com,9660022,0
Go to the library and find an interesting book,relaxation,1,0.05,,8253550,0.2
Organize your pantry,busywork,1,0,,3954882,0
Learn Kotlin,education,1,0,https://kotlinlang.org/,3950821,0.8
Learn how to use a french press,recreational,1,0.3,https://en.wikipedia.org/wiki/French_press,4522866,0.3
Go see a Broadway production,recreational,4,0.8,,4448913,0.3
Make a bucket list,busywork,1,0,,2735499,0
Look at pictures and videos of cute animals,relaxation,1,0,,2565076,1
Take a caffeine nap,relaxation,1,0.1,,5092652,0.08
Learn the NATO phonetic alphabet,education,1,0,https://en.wikipedia.org/wiki/NATO_phonetic_alphabet,6706598,0
Learn how to make an Alexa skill,education,1,0,https://developer.amazon.com/en-US/docs/alexa/custom-skills/steps-to-build-a-custom-skill.html,1592381,0.1
Sit in the dark and listen to your favorite music with no distractions,relaxation,1,0,,9908721,1
Play a game of Monopoly,social,4,0.2,,1408058,0.3
Back up important computer files,busywork,1,0.2,,9081214,0.2
Explore a park you have never been to before,recreational,1,0,,8159356,0
Make a to-do list for your week,busywork,1,0,,5920481,0.05
Play a volleyball match with some friends,social,4,0,,4306710,0.3
Play a video game,recreational,1,0,,5534113,0
Make bread from scratch,cooking,1,0.2,,4809815,0.2
Solve a Rubik's cube,recreational,1,0,,4151544,0.1
Write a short story,recreational,1,0,,6301585,0.1
Watch the sunset or the sunrise,recreational,1,0,,4748214,1
Have a bonfire with your close friends,social,4,0.1,,8442249,0.1
Learn how to iceskate or rollerskate,recreational,1,0.1,,5947957,0.25
Look at your finances and find one way to save money,busywork,1,0,,5977626,1
Learn to write with your nondominant hand,recreational,1,0,,1645485,0.02
Write a thank you letter to an influential person in your life,social,1,0,,4101229,0.1
Repaint a room in your house,recreational,1,0.3,,4877086,0.4
Make a scrapbook with pictures of your favorite memories,diy,1,0.1,,5554174,0.1
